task,seed,condition,fold_i,fold_j,fc_alpha_i,fc_alpha_j,sc_alpha_i,sc_alpha_j,prediction_correlation
working_memory,8,R1,0,3,100.0,0.001,100.0,100.0,0.0069328805737856585
working_memory,8,R1,0,4,100.0,100.0,100.0,100.0,0.15255602355220338
working_memory,8,R1,1,2,100.0,0.001,100.0,100.0,0.17950392355329176
working_memory,8,R1,1,3,100.0,0.001,100.0,100.0,-0.12499863954462839
working_memory,8,R1,1,4,100.0,100.0,100.0,100.0,-0.04611399527649895
working_memory,8,R1,2,3,0.001,0.001,100.0,100.0,0.060458636714881206
working_memory,8,R1,2,4,0.001,100.0,100.0,100.0,0.029200814096494377
working_memory,8,R1,3,4,0.001,100.0,100.0,100.0,-0.11537749915651767
working_memory,8,R2,0,1,100.0,100.0,100.0,100.0,0.09031946601737963
working_memory,8,R2,0,2,100.0,0.001,100.0,100.0,0.141432940433822
working_memory,8,R2,0,3,100.0,0.001,100.0,100.0,-0.250334672021419
working_memory,8,R2,0,4,100.0,100.0,100.0,100.0,0.10338372460029822
working_memory,8,R2,1,2,100.0,0.001,100.0,100.0,0.1723860210489655
working_memory,8,R2,1,3,100.0,0.001,100.0,100.0,-0.03159521555054908
