task,seed,fold,model,pearson,rmse,mae,eta,expert_pearson,expert_rmse,expert_mae,selected_top_k,selected_alpha,selected_ratio,prior_type
FI,3232,2,A0,0.5416241679681906,4.7014367125273,3.90929037825344,,,,,,,,matched
FI,3232,2,A1,0.537304144297849,4.747965197992996,3.98291662075679,0.1,0.06576276315706256,5.691271084468951,4.710175319502807,,,,matched
FI,3232,2,A2,0.5416241679681906,4.7014367125273,3.90929037825344,0.0,0.10979250969908509,5.454173819085736,4.625334609419829,25.0,,,matched
FI,3232,2,A3,0.5416241679681906,4.7014367125273,3.90929037825344,0.0,0.08468266866268559,5.4637411423759605,4.625626304587385,25.0,1000.0,1.0,A3
FI,3232,2,A4,0.5416241679681906,4.7014367125273,3.90929037825344,0.0,0.08468266866268559,5.4637411423759605,4.625626304587385,25.0,1000.0,1.0,A4
FI,3232,2,A5,0.5406127315632157,4.744673529582476,3.975462787790823,0.1,0.11517632141367731,5.45464766426203,4.655995856280762,25.0,100.0,0.3,A5
FI,3232,2,A6,0.5277599443991631,4.785383832899771,4.020028031710275,0.15000000000000002,0.015594972338830351,5.743303407502132,4.737480059973925,25.0,0.001,0.0,A6
FI,3232,3,A0,0.250469231077038,4.375780851685888,3.6536606741926394,,,,,,,,matched
FI,3232,3,A1,0.250469231077038,4.375780851685888,3.6536606741926394,0.0,0.11563482599783736,4.750253753046687,4.0064450302452,,,,matched
FI,3232,3,A2,0.250469231077038,4.375780851685888,3.6536606741926394,0.0,0.13553000404609383,4.359243051821658,3.66573289299862,15.0,,,matched
FI,3232,3,A3,0.250469231077038,4.375780851685888,3.6536606741926394,0.0,0.13553000404609383,4.359243051821658,3.66573289299862,15.0,100.0,0.0,A3
FI,3232,3,A4,0.250469231077038,4.375780851685888,3.6536606741926394,0.0,0.13553000404609383,4.359243051821658,3.66573289299862,15.0,100.0,0.0,A4
FI,3232,3,A5,0.250469231077038,4.375780851685888,3.6536606741926394,0.0,0.05753911636228481,4.376768050513445,3.7173644583137158,5.0,100.0,0.3,A5
FI,3232,3,A6,0.250469231077038,4.375780851685888,3.6536606741926394,0.0,0.12496300825307781,4.498846071536846,3.741255527300263,25.0,0.001,0.0,A6
FI,3232,4,A0,0.27442217348686326,4.531116246058605,3.8559922375583637,,,,,,,,matched
FI,3232,4,A1,0.22868695024022812,4.586221478777582,3.9090189345239374,0.1,-0.2634699596461334,5.931027925589689,4.80029246577669,,,,matched
FI,3232,4,A2,0.2653563477941733,4.520815316195412,3.868042112833702,0.15000000000000002,-0.13413542200580175,4.835610405661771,4.011682201455553,5.0,,,matched
FI,3232,4,A3,0.2653563477941733,4.520815316195412,3.868042112833702,0.15000000000000002,-0.13413542200580175,4.835610405661771,4.011682201455553,5.0,0.001,0.0,A3
FI,3232,4,A4,0.2653563477941733,4.520815316195412,3.868042112833702,0.15000000000000002,-0.13413542200580175,4.835610405661771,4.011682201455553,5.0,0.001,0.0,A4
