task,seed,outer_fold,model,pearson,rmse,mae,selected_lambda,selected_r_A,selected_r_S,n_semantic_edges,n_generic_edges,fused_pearson,fused_rmse,fused_mae
fluid_intelligence,505,1,joint_baseline,0.40584295485375466,4.302068200124438,3.3649803678731414,100.0,1.0,0.25,1105,5565,,,
fluid_intelligence,505,1,palf_mpr,0.4229570302595864,4.262772358514652,3.2851928333674274,100.0,0.1,0.1,1105,5565,,,
fluid_intelligence,505,1,late_fusion_reference,0.25792187389160615,4.51693468897011,3.621704812161589,,,,1105,5565,0.475740484257524,4.198384288015069,3.39289955891076
fluid_intelligence,505,2,joint_baseline,0.3235129614182638,4.558830785800711,3.5864793494413325,100.0,1.0,1.0,1105,5565,,,
fluid_intelligence,505,2,palf_mpr,0.3235129614182638,4.558830785800711,3.5864793494413325,100.0,1.0,1.0,1105,5565,,,
fluid_intelligence,505,2,late_fusion_reference,0.0692050940983726,4.679002675740836,3.9034706828421815,,,,1105,5565,0.38617112818058547,4.222883433933738,3.5531273501905196
fluid_intelligence,505,3,joint_baseline,0.3153581970490491,5.036056729027105,4.250027250507439,100.0,1.0,0.1,1105,5565,,,
fluid_intelligence,505,3,palf_mpr,0.3188422386800692,5.0243741264156405,4.24406871330705,100.0,0.5,0.1,1105,5565,,,
fluid_intelligence,505,3,late_fusion_reference,0.13897444395787714,5.41855657317633,4.587250899469745,,,,1105,5565,0.26930588518715737,5.033169381437903,4.388336972190377
fluid_intelligence,505,4,joint_baseline,0.4462165735841084,4.355120665340533,3.4894225209510754,100.0,1.0,0.25,1105,5565,,,
fluid_intelligence,505,4,palf_mpr,0.4346341262633204,4.392797154133767,3.5505171736644905,100.0,0.1,0.1,1105,5565,,,
fluid_intelligence,505,4,late_fusion_reference,0.18463458939134,4.787142258883547,3.922696369887523,,,,1105,5565,0.3995814913465721,4.462870286204186,3.6810280310296797
fluid_intelligence,606,0,joint_baseline,0.4581121277552212,4.590509343314611,3.627535583500429,100.0,1.0,0.1,1105,5565,,,
fluid_intelligence,606,0,palf_mpr,0.46339619919185415,4.564960177199439,3.6184358558238565,100.0,0.1,0.1,1105,5565,,,
fluid_intelligence,606,0,late_fusion_reference,0.30666143204199164,4.885755419904044,3.9885746956842856,,,,1105,5565,0.47768442851552073,4.602250335100011,3.6976949674571555
fluid_intelligence,606,1,joint_baseline,0.24448205107571486,5.0156809809274305,4.20572510057895,100.0,1.0,0.5,1105,5565,,,
fluid_intelligence,606,1,palf_mpr,0.22359759131254967,5.065680561600868,4.244231463860968,100.0,0.1,0.1,1105,5565,,,
fluid_intelligence,606,1,late_fusion_reference,0.28479039790582406,4.795740327024406,4.060474916990507,,,,1105,5565,0.3050621007622583,4.771309770776581,4.069532627461302
fluid_intelligence,606,2,joint_baseline,0.48991559097136994,4.0618603636837,3.443821722829473,0.01,1.0,0.25,1105,5565,,,
fluid_intelligence,606,2,palf_mpr,0.5035085324212248,4.035383961157936,3.4371331652228743,100.0,0.25,0.25,1105,5565,,,
fluid_intelligence,606,2,late_fusion_reference,0.2744385172257443,4.38804052542587,3.8159667357583587,,,,1105,5565,0.46084027328950733,4.099031218668196,3.5864945258944756
fluid_intelligence,606,3,joint_baseline,0.4152479348222372,4.433437256304334,3.727909966052853,100.0,1.0,0.5,1105,5565,,,
fluid_intelligence,606,3,palf_mpr,0.40152428050036615,4.527211979415601,3.781325018190068,100.0,0.1,0.25,1105,5565,,,
fluid_intelligence,606,3,late_fusion_reference,0.23899430907512062,4.64840129031432,3.8678807774584123,,,,1105,5565,0.4310390109276152,4.328671643141604,3.6313100560895353
fluid_intelligence,606,4,joint_baseline,0.37382783465487907,4.997615142156743,4.257039931882301,100.0,1.0,0.1,1105,5565,,,
fluid_intelligence,606,4,palf_mpr,0.3858742103000772,4.964233499941622,4.217507049345701,100.0,0.25,0.1,1105,5565,,,
fluid_intelligence,606,4,late_fusion_reference,0.21730258264534325,5.188797457328832,4.442902580986918,,,,1105,5565,0.3640831950202913,5.037217553442434,4.353176647753302
fluid_intelligence,707,0,joint_baseline,0.22165349838657628,4.7733641363872,3.928747130134994,100.0,1.0,0.25,1105,5565,,,
fluid_intelligence,707,0,palf_mpr,0.2217430925106651,4.769375350233381,3.9370673701706314,100.0,0.25,0.25,1105,5565,,,
fluid_intelligence,707,0,late_fusion_reference,0.34127016139665756,4.551848188697148,3.672207127570847,,,,1105,5565,0.24146467175302055,4.653415173977207,3.8612981777405
fluid_intelligence,707,1,joint_baseline,0.3808802411940252,4.980720086806814,4.136516470959643,100.0,1.0,1.0,1105,5565,,,
fluid_intelligence,707,1,palf_mpr,0.3808802411940252,4.980720086806814,4.136516470959643,100.0,1.0,1.0,1105,5565,,,
fluid_intelligence,707,1,late_fusion_reference,0.16003020322495232,5.633474427510368,4.626574098878284,,,,1105,5565,0.35348753621079,5.000104549363566,4.303419297062158
fluid_intelligence,707,2,joint_baseline,0.25747703859751814,4.563875561798023,3.74631708094453,100.0,1.0,0.5,1105,5565,,,
fluid_intelligence,707,2,palf_mpr,0.2729105678995909,4.573470904581707,3.690748689127464,100.0,0.1,0.25,1105,5565,,,
