seed,fold,task,prior_type,mask_family,mask_size,lambda_r,laplacian_ratio,expert_w_fc,expert_w_sc,alpha,ncr_final_r,ridge_final_r,baseline_r
1515,4,FI,cross_task,roi_incident,5,1000.0,0.0,0.5,0.5,0.2,0.4810680106699933,0.4823356212726663,0.46625232217718365
1515,4,FI,shuffled,roi_incident,10,1000.0,0.0,0.7,0.30000000000000004,0.0,0.46625232217718365,0.46625232217718365,0.46625232217718365
1515,4,FI,random,roi_incident,5,100.0,0.0,0.5,0.5,0.0,0.46625232217718365,0.46625232217718365,0.46625232217718365
1616,0,WM,matched,roi_incident,10,1000.0,0.0,1.0,0.0,0.25,0.2807641707125291,0.2807641707125291,0.25972981751796836
1616,0,WM,cross_task,direct_topk,300,1000.0,0.0,1.0,0.0,0.0,0.25972981751796836,0.25972981751796836,0.25972981751796836
1616,0,WM,shuffled,roi_incident,10,100.0,0.0,0.45,0.55,0.1,0.2632017218202078,0.2647362619366731,0.25972981751796836
1616,0,WM,random,direct_topk,1200,1000.0,0.0,0.6,0.4,0.0,0.25972981751796836,0.25972981751796836,0.25972981751796836
1616,0,FI,matched,roi_incident,15,1000.0,0.0,0.1,0.9,0.05,0.3864130810724014,0.3857570877363471,0.3857570877363471
1616,0,FI,cross_task,roi_incident,15,1000.0,0.0,0.1,0.9,0.15,0.39339180497211657,0.3980684064429246,0.3857570877363471
1616,0,FI,shuffled,roi_incident,5,100.0,0.0,0.1,0.9,0.15,0.38271021422078005,0.37621488043878226,0.3857570877363471
1616,0,FI,random,roi_incident,10,0.1,1.0,0.55,0.44999999999999996,0.0,0.3857570877363471,0.3857570877363471,0.3857570877363471
1616,1,WM,matched,roi_incident,10,1000.0,0.0,0.7,0.30000000000000004,0.8,0.34969474122252114,0.3401739654708559,0.40838743300300023
1616,1,WM,cross_task,roi_incident,10,1000.0,0.0,0.75,0.25,0.85,0.3275845274338227,0.32758452743382227,0.40838743300300023
1616,1,WM,shuffled,roi_incident,10,100.0,0.0,0.3,0.7,0.75,0.35788611971987966,0.3710279492161332,0.40838743300300023
1616,1,WM,random,direct_topk,1200,1000.0,0.0,0.8,0.19999999999999996,0.45,0.3694506207525147,0.3622930599181358,0.40838743300300023
1616,1,FI,matched,roi_incident,15,1000.0,0.0,0.55,0.44999999999999996,0.05,0.40754866883023333,0.40774344066288826,0.40721830071420007
1616,1,FI,cross_task,roi_incident,15,1000.0,0.0,0.4,0.6,0.35,0.39839981037270783,0.40056884004528337,0.40721830071420007
1616,1,FI,shuffled,direct_topk,1200,100.0,0.0,0.15,0.85,0.2,0.3930547719960915,0.38735703121080967,0.40721830071420007
1616,1,FI,random,roi_incident,5,100.0,0.0,0.2,0.8,0.25,0.442840340622718,0.44284034062271793,0.40721830071420007
1616,2,WM,matched,roi_incident,15,1.0,1.0,1.0,0.0,0.2,0.3316879859775482,0.3596596060998546,0.31542242076428967
1616,2,WM,cross_task,roi_incident,15,1000.0,0.0,1.0,0.0,0.35,0.3188078137003755,0.3131154771334985,0.31542242076428967
1616,2,WM,shuffled,roi_incident,10,10.0,0.0,0.4,0.6,0.6,0.33969099895938165,0.3457268579618882,0.31542242076428967
1616,2,WM,random,roi_incident,15,1000.0,0.0,0.35,0.65,0.4,0.33855458001963795,0.33855458001963784,0.31542242076428967
1616,2,FI,matched,direct_topk,300,100.0,0.0,0.1,0.9,0.25,0.2689730654030637,0.2652619330078782,0.26030387074518535
1616,2,FI,cross_task,direct_topk,100,0.1,1.0,0.35,0.65,0.05,0.2627425568489046,0.26030387074518535,0.26030387074518535
1616,2,FI,shuffled,roi_incident,10,100.0,0.0,0.05,0.95,0.2,0.2829042303480396,0.285106813059021,0.26030387074518535
1616,2,FI,random,roi_incident,5,0.1,1.0,0.2,0.8,0.45,0.3051718866866536,0.3058319000697534,0.26030387074518535
1616,3,WM,matched,roi_incident,10,1000.0,0.0,1.0,0.0,0.05,0.2861072809275671,0.2896882887149257,0.28399102521724484
1616,3,WM,cross_task,roi_incident,10,1000.0,0.0,1.0,0.0,0.0,0.28399102521724484,0.28399102521724484,0.28399102521724484
1616,3,WM,shuffled,direct_topk,100,0.001,0.0,0.3,0.7,0.15,0.2835928437021088,0.2835928437021088,0.28399102521724484
1616,3,WM,random,direct_topk,600,100.0,0.0,0.6,0.4,0.3,0.2690454051943664,0.26904540519436687,0.28399102521724484
1616,3,FI,matched,roi_incident,15,1000.0,0.0,0.15,0.85,0.7,0.3609787257314009,0.36097872573140083,0.47710869514065835
1616,3,FI,cross_task,roi_incident,15,1.0,1.0,0.35,0.65,0.25,0.46627883611861864,0.46989174220733143,0.47710869514065835
1616,3,FI,shuffled,direct_topk,300,1000.0,0.0,0.1,0.9,0.4,0.46797298765428963,0.46797298765428963,0.47710869514065835
1616,3,FI,random,direct_topk,600,1000.0,0.0,0.6,0.4,0.35,0.48573722176817224,0.4857372217681724,0.47710869514065835
1616,4,WM,matched,direct_topk,300,1000.0,0.0,0.8,0.19999999999999996,0.3,0.28577721250292387,0.2888321907076695,0.27935821230250846
1616,4,WM,cross_task,direct_topk,600,1000.0,0.0,0.75,0.25,0.25,0.27708793342868276,0.27708793342868293,0.27935821230250846
1616,4,WM,shuffled,direct_topk,1200,100.0,0.0,0.5,0.5,0.0,0.27935821230250846,0.27935821230250846,0.27935821230250846
1616,4,WM,random,direct_topk,1200,100.0,0.0,1.0,0.0,0.4,0.24735338258702044,0.24735338258702105,0.27935821230250846
1616,4,FI,matched,roi_incident,10,0.1,1.0,0.25,0.75,0.3,0.23185695221763158,0.2283181696822691,0.2330178109661576
1616,4,FI,cross_task,roi_incident,15,1000.0,0.0,0.3,0.7,0.05,0.2321967831360361,0.23219678313603606,0.2330178109661576
1616,4,FI,shuffled,direct_topk,600,0.01,0.3,0.0,1.0,0.35,0.22939483384453596,0.22644920825927548,0.2330178109661576
1616,4,FI,random,roi_incident,10,1000.0,0.0,0.0,1.0,0.0,0.2330178109661576,0.2330178109661576,0.2330178109661576
