seed,fold,task,prior_type,expert_type,baseline_pearson,baseline_rmse,baseline_mae,fc_expert_pearson,sc_expert_pearson,expert_fused_pearson,final_pearson,final_rmse,final_mae,delta_final_vs_baseline,selected_mask_family_fc,selected_mask_size_fc,selected_lambda_fc_expert,selected_laplacian_ratio_fc,selected_mask_family_sc,selected_mask_size_sc,selected_lambda_sc_expert,selected_laplacian_ratio_sc,expert_w_FC,expert_w_SC,alpha_base_vs_expert,base_expert_prediction_corr,base_expert_error_corr,ridge_final_pearson,ridge_delta_vs_baseline,ridge_lambda_r,ridge_laplacian_ratio,max_recon_error
1414,1,WM,matched,ncr,0.3799975307426978,111.06272878557895,110.59616145547524,0.10517215264272127,0.07303482372335017,0.12271112697851287,0.3799975307426978,111.06272878557895,110.59616145547524,0.0,direct_topk,600,1000.0,0.0,direct_topk,600,1000.0,0.0,0.65,0.35,0.0,0.6248989498422357,0.9442538274851302,0.3799975307426978,0.0,1000.0,0.0,121.67098604701921
1414,1,WM,cross_task,ncr,0.3799975307426978,111.06272878557895,110.59616145547524,0.10455959969548342,0.10972653596613519,0.14427769550940756,0.3799975307426978,111.06272878557895,110.59616145547524,0.0,roi_incident,10,1000.0,0.0,roi_incident,10,1000.0,0.0,0.5,0.5,0.0,0.623275151200301,0.9420743997126215,0.3799975307426978,0.0,1000.0,0.0,122.44056058561057
1414,1,WM,shuffled,ncr,0.3799975307426978,111.06272878557895,110.59616145547524,0.09692480225995664,0.21640946047498572,0.22980013369318555,0.3837112054803154,50.76736885621573,49.74366119770504,0.0037136747376175783,direct_topk,1200,0.01,1.0,direct_topk,1200,0.01,1.0,0.1,0.9,0.55,0.6220983952902928,0.9455513160077657,0.38720855728834924,0.007211026545651422,100.0,0.0,55.62373730579396
1414,1,WM,random,ncr,0.3799975307426978,111.06272878557895,110.59616145547524,0.08341796515002985,0.10715803724002743,0.13056126968900336,0.3799975307426978,111.06272878557895,110.59616145547524,0.0,direct_topk,1200,100.0,0.0,direct_topk,1200,100.0,0.0,0.3,0.7,0.0,0.618305335115434,0.9429222993955795,0.3799975307426978,0.0,100.0,0.0,125.39398434552857
1414,1,FI,matched,ncr,0.2212656951693201,17.679076588551766,16.892785389618897,0.15829878154779936,0.16608274832746936,0.2059675128341644,0.2212656951693201,17.679076588551766,16.892785389618897,0.0,direct_topk,600,1000.0,0.0,direct_topk,600,1000.0,0.0,0.45,0.55,0.0,0.702853557586665,0.9445087710583936,0.2212656951693201,0.0,1000.0,0.0,21.116177236734426
1414,1,FI,cross_task,ncr,0.2212656951693201,17.679076588551766,16.892785389618897,0.06897801848988426,0.17940298295052876,0.18323505524103256,0.2212656951693201,17.679076588551766,16.892785389618897,0.0,direct_topk,100,100.0,0.0,direct_topk,100,100.0,0.0,0.1,0.9,0.0,0.6820052838844112,0.9467481250981975,0.2212656951693201,0.0,100.0,0.0,23.8787709521173
1414,1,FI,shuffled,ncr,0.2212656951693201,17.679076588551766,16.892785389618897,0.1600303467860076,0.2526557708429309,0.2792314147804087,0.22922768800925059,15.214085925840529,14.315037455723884,0.007961992839930487,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.2,0.8,0.15,0.7455862797966906,0.9525646881179792,0.2321966095549628,0.010930914385642698,1000.0,0.0,19.418195934340535
1414,1,FI,random,ncr,0.2212656951693201,17.679076588551766,16.892785389618897,0.1044998229032256,0.07019593517437132,0.12323062154533879,0.2212656951693201,17.679076588551766,16.892785389618897,0.0,direct_topk,100,1000.0,0.0,direct_topk,100,1000.0,0.0,0.5,0.5,0.0,0.47684504872630396,0.8791775713841377,0.2212656951693201,0.0,1000.0,0.0,20.75275385010736
1414,2,WM,matched,ncr,0.2386060604651622,111.77303912894817,111.20387800649661,0.20501663422784794,0.06765048380143673,0.20812502691672574,0.24105927949063893,95.13147810212632,94.47241603214148,0.0024532190254767383,direct_topk,1200,1.0,0.3,direct_topk,1200,1.0,0.3,0.9,0.09999999999999998,0.15,0.6672872234771756,0.9360170079746596,0.23985590978629748,0.0012498493211352824,1000.0,0.0,106.02878997195852
1414,2,WM,cross_task,ncr,0.2386060604651622,111.77303912894817,111.20387800649661,0.14348318190464313,0.018882434542029713,0.14392966593131395,0.2386060604651622,111.77303912894817,111.20387800649661,0.0,direct_topk,1200,1000.0,0.0,direct_topk,1200,1000.0,0.0,0.9,0.09999999999999998,0.0,0.5617023303398239,0.884441988610974,0.2386060604651622,0.0,1000.0,0.0,124.0767222358624
