task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
working_memory,9,1,R0,fused,0.18324921765034208,11.578084080363901,9.340335916018796,329,83
working_memory,9,1,R0,equal_weight,0.17830544095522813,11.518467115453912,9.356797493321954,329,83
working_memory,9,2,R0,FC,0.22595221665816115,12.09492264971399,9.641486881374682,330,82
working_memory,9,2,R0,SC,0.21382871902267028,11.667885272438024,9.322833358196558,330,82
working_memory,9,2,R0,FP,0.2323659610870533,11.330432337055376,8.969296872666256,330,82
working_memory,9,2,R0,fused,0.2622175714658977,11.357376629694528,9.059667285076552,330,82
working_memory,9,2,R0,equal_weight,0.27873996770116366,11.146553301555265,8.893524882281802,330,82
working_memory,9,3,R0,FC,0.19470533158347364,12.537032391880391,10.125870352747917,330,82
working_memory,9,3,R0,SC,0.3688432949801423,10.273753898831053,7.921130623496334,330,82
working_memory,9,3,R0,FP,0.1526776234091681,11.582074862442209,9.509894905150311,330,82
working_memory,9,3,R0,fused,0.25690136159609844,11.310758495101402,9.142807775446105,330,82
working_memory,9,3,R0,equal_weight,0.331678608494179,10.468082739647535,8.400102892502575,330,82
working_memory,9,4,R0,FC,0.4123111561603514,11.445551920133278,8.947898240032533,330,82
working_memory,9,4,R0,SC,0.07057523891936293,12.545669637062916,10.183469945108932,330,82
working_memory,9,4,R0,FP,0.4127931018639842,11.401747424380629,8.91779839349491,330,82
working_memory,9,4,R0,fused,0.1905022221283493,11.722524059137431,9.622472007442802,330,82
