task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
fluid_intelligence,0,3,R3,SC,0.22724878904629317,4.758280230590928,3.8787430969058256,330,82
fluid_intelligence,0,3,R3,FP,0.10671390769699449,5.268159320124517,4.46607659146045,330,82
fluid_intelligence,0,3,R3,fused,0.22159961004141124,4.667042731744182,4.006010275464684,330,82
fluid_intelligence,0,3,R3,equal_weight,0.20657047000015508,4.708660060127187,4.068567513940247,330,82
fluid_intelligence,0,4,R3,FC,0.26099474853405646,5.408210912564001,4.197994601808023,330,82
fluid_intelligence,0,4,R3,SC,0.4148728119735355,4.691808667457059,3.6941525663423462,330,82
fluid_intelligence,0,4,R3,FP,0.30028059476704105,4.9034482610974734,4.088046302490327,330,82
fluid_intelligence,0,4,R3,fused,0.43568274932040935,4.6256319357087765,3.6585187642196715,330,82
fluid_intelligence,0,4,R3,equal_weight,0.4675209920998921,4.606750058863159,3.752571170865953,330,82
fluid_intelligence,1,0,R3,FC,0.22221231320550522,5.199830737450859,4.179168102814128,329,83
fluid_intelligence,1,0,R3,SC,0.2037408465744035,4.746307193485155,3.7839544985676095,329,83
fluid_intelligence,1,0,R3,FP,0.30416989878201806,4.346537094581749,3.60929234667133,329,83
fluid_intelligence,1,0,R3,fused,0.24914332235484463,4.497867680867653,3.6004163139254475,329,83
fluid_intelligence,1,0,R3,equal_weight,0.30888693342229384,4.342744872898906,3.512523807566279,329,83
fluid_intelligence,1,1,R3,FC,0.23477224840393562,5.421142732505142,4.316210357797787,329,83
fluid_intelligence,1,1,R3,SC,0.37236487119377437,4.397208025829504,3.5680015477095304,329,83
fluid_intelligence,1,1,R3,FP,0.22078691937163164,4.869191008138248,3.951207848612584,329,83
fluid_intelligence,1,1,R3,fused,0.38745509353635343,4.321872765246721,3.510338791143292,329,83
fluid_intelligence,1,1,R3,equal_weight,0.38756061453213564,4.29915696540164,3.5597572612363937,329,83
fluid_intelligence,1,2,R3,FC,0.194960592096337,5.878067680315708,4.6754930070693215,330,82
fluid_intelligence,1,2,R3,SC,0.40817622833307143,4.836274640269176,3.9668407874220777,330,82
fluid_intelligence,1,2,R3,FP,0.2720614803596521,5.240552138608537,4.491750913525942,330,82
fluid_intelligence,1,2,R3,fused,0.43956469794675784,4.766990016937929,3.9662897976094524,330,82
fluid_intelligence,1,2,R3,equal_weight,0.42109336971099043,4.814704561753665,4.061982573366118,330,82
fluid_intelligence,1,3,R3,FC,0.12022191198621027,6.471716309862908,5.475744822746876,330,82
fluid_intelligence,1,3,R3,SC,0.39831335310798965,4.7615250458949525,4.010914563020632,330,82
fluid_intelligence,1,3,R3,FP,0.1424021757063717,5.895524482169906,4.975703611320944,330,82
fluid_intelligence,1,3,R3,fused,0.3022009437762794,5.047028153755418,4.3381697587326835,330,82
fluid_intelligence,1,3,R3,equal_weight,0.32123210817941983,4.982909389946019,4.289222149983855,330,82
fluid_intelligence,1,4,R3,FC,0.06754621539445634,6.107879826385806,5.071223799715169,330,82
fluid_intelligence,1,4,R3,SC,0.29779368221874525,4.73392912523,3.9337547685292567,330,82
fluid_intelligence,1,4,R3,FP,0.2822806736835697,4.707915611233622,4.0223160986717055,330,82
fluid_intelligence,1,4,R3,fused,0.34073316803916087,4.591394496544924,3.8312353922188,330,82
fluid_intelligence,1,4,R3,equal_weight,0.3580373818476401,4.559894521760244,3.8627319694182742,330,82
fluid_intelligence,2,0,R3,FC,0.22934999853728955,5.809850749362463,4.793300715994568,329,83
fluid_intelligence,2,0,R3,SC,0.42615316540358394,4.712510329830478,3.8294632743371517,329,83
fluid_intelligence,2,0,R3,FP,0.24633359594772378,5.347939881063937,4.443676146098493,329,83
fluid_intelligence,2,0,R3,fused,0.43546666453204774,4.681695828947941,3.8266969390919563,329,83
fluid_intelligence,2,0,R3,equal_weight,0.4241155322679758,4.711501740151696,3.9551793069548533,329,83
fluid_intelligence,2,1,R3,FC,0.16624315293019462,5.6416833245172295,4.7393668531712585,329,83
fluid_intelligence,2,1,R3,SC,0.2895552009305497,4.677420883283748,3.8851440133330017,329,83
fluid_intelligence,2,1,R3,FP,0.14551510731645712,5.159148207676011,4.444410931355026,329,83
fluid_intelligence,2,1,R3,fused,0.3068953431982367,4.55668663687519,3.8182620139025554,329,83
fluid_intelligence,2,1,R3,equal_weight,0.2854202838708659,4.585275788602279,3.99605960197162,329,83
fluid_intelligence,2,2,R3,FC,0.14698894727587924,5.665910047826477,4.583522617406028,330,82
fluid_intelligence,2,2,R3,SC,0.4260113840104183,4.273084258249353,3.5295046545119817,330,82
fluid_intelligence,2,2,R3,FP,0.2304779819796604,4.632626088727101,3.7108526236712716,330,82
fluid_intelligence,2,2,R3,fused,0.4387747745581072,4.238676415889844,3.4939992887839946,330,82
fluid_intelligence,2,2,R3,equal_weight,0.4232434792211378,4.278652961303506,3.511624308423262,330,82
fluid_intelligence,2,3,R3,FC,0.33903468319729124,5.124926817078082,4.090750494159126,330,82
fluid_intelligence,2,3,R3,SC,0.3889444526226519,4.653530486992415,3.704916258820292,330,82
fluid_intelligence,2,3,R3,FP,0.40897988975095567,4.627500076080421,3.841382083945609,330,82
fluid_intelligence,2,3,R3,fused,0.4313165718536385,4.561278187233391,3.67377585018764,330,82
fluid_intelligence,2,3,R3,equal_weight,0.4845236558052133,4.503530465612762,3.7273631146253403,330,82
fluid_intelligence,2,4,R3,FC,0.15771186172098392,5.705343700641078,4.6189115559761005,330,82
fluid_intelligence,2,4,R3,SC,0.36174740271137507,4.647553791222223,3.8744191322590606,330,82
fluid_intelligence,2,4,R3,FP,0.19104980760734663,4.822785273781411,4.2236035258333615,330,82
fluid_intelligence,2,4,R3,fused,0.36983011604445043,4.540879599086952,3.8380429443962205,330,82
fluid_intelligence,2,4,R3,equal_weight,0.3625467055711784,4.535355357950158,3.8736332947193053,330,82
fluid_intelligence,3,0,R3,FC,-0.0166189970644728,5.961045584051535,4.905682825556989,329,83
fluid_intelligence,3,0,R3,SC,0.2483656482136284,4.864380870582836,4.047564509853732,329,83
fluid_intelligence,3,0,R3,FP,0.09276927821965975,4.9429426594659756,4.332052483952948,329,83
fluid_intelligence,3,0,R3,fused,0.2508458448939662,4.76338341659393,4.040763297161437,329,83
fluid_intelligence,3,0,R3,equal_weight,0.23820503327344364,4.72094515624421,4.134362793638415,329,83
fluid_intelligence,3,1,R3,FC,0.1322937065697279,5.591723337474201,4.353571551688537,329,83
fluid_intelligence,3,1,R3,SC,0.36410336895898743,4.541984749437563,3.6380604059604025,329,83
fluid_intelligence,3,1,R3,FP,0.15189722106432985,5.2138209886095135,4.019179786186449,329,83
fluid_intelligence,3,1,R3,fused,0.3672041112366765,4.513546761134987,3.611513067288821,329,83
fluid_intelligence,3,1,R3,equal_weight,0.3199974538101792,4.5636154940224625,3.643458197596202,329,83
fluid_intelligence,3,2,R3,FC,0.2558754346058441,5.510222558009862,4.275752629680555,330,82
fluid_intelligence,3,2,R3,SC,0.3775662518919305,4.495974894174796,3.5149331703397255,330,82
fluid_intelligence,3,2,R3,FP,0.31158883259327086,4.5925923110102875,3.8752938647093527,330,82
fluid_intelligence,3,2,R3,fused,0.389045612091944,4.450267315337038,3.5039816502987673,330,82
fluid_intelligence,3,2,R3,equal_weight,0.4201834724672334,4.390109632095114,3.626002217558355,330,82
fluid_intelligence,3,3,R3,FC,0.2881681612304412,5.481422481581321,4.51744040276285,330,82
fluid_intelligence,3,3,R3,SC,0.41022797808312844,4.6648316965286565,3.896483337556082,330,82
fluid_intelligence,3,3,R3,FP,0.3028529053743768,4.8538899934277175,4.1529802096209325,330,82
fluid_intelligence,3,3,R3,fused,0.4454972932940253,4.592376179903647,3.839725111297775,330,82
fluid_intelligence,3,3,R3,equal_weight,0.4525556869932754,4.607735653679795,3.876019002310044,330,82
fluid_intelligence,3,4,R3,FC,0.18660573668487362,5.777614137882084,4.412319741182722,330,82
fluid_intelligence,3,4,R3,SC,0.2377431129698708,4.975161753801156,4.074876033373013,330,82
fluid_intelligence,3,4,R3,FP,0.188786304712722,4.954699593208355,4.147683684223079,330,82
fluid_intelligence,3,4,R3,fused,0.26706210548457054,4.829147158310891,3.960333979540744,330,82
fluid_intelligence,3,4,R3,equal_weight,0.28828465156661554,4.775940445651497,3.981973643548335,330,82
fluid_intelligence,4,0,R3,FC,0.17443445413864123,5.580054882193504,4.565122061673182,329,83
fluid_intelligence,4,0,R3,SC,0.3722206445721284,4.509378582798186,3.694621165271517,329,83
fluid_intelligence,4,0,R3,FP,0.19744834648183585,5.024577374300786,4.2803000126757595,329,83
fluid_intelligence,4,0,R3,fused,0.3722206445721284,4.509378582798186,3.694621165271517,329,83
fluid_intelligence,4,0,R3,equal_weight,0.3392396508273475,4.550177698422678,3.872894930820423,329,83
fluid_intelligence,4,1,R3,FC,0.07121758243704303,5.69770805587449,4.482505418960391,329,83
fluid_intelligence,4,1,R3,SC,0.40803312965061417,4.2866070213902345,3.5975806979791605,329,83
fluid_intelligence,4,1,R3,FP,0.11992826023641814,4.673364095685266,3.9586769569523215,329,83
fluid_intelligence,4,1,R3,fused,0.38573024183707366,4.263526646411568,3.609505876264805,329,83
fluid_intelligence,4,1,R3,equal_weight,0.35952325084482006,4.307898364378606,3.6626461114404467,329,83
fluid_intelligence,4,2,R3,FC,0.2332796606352623,5.446628302145523,4.364826760320286,330,82
fluid_intelligence,4,2,R3,SC,0.33412452218017863,4.661500523976256,3.8236309759580744,330,82
fluid_intelligence,4,2,R3,FP,0.20582770428868516,4.850627298455263,3.9294368603292162,330,82
fluid_intelligence,4,2,R3,fused,0.3493790642559284,4.5811394466799955,3.7741095503781747,330,82
fluid_intelligence,4,2,R3,equal_weight,0.3454911070404032,4.594105710582372,3.7767290471328514,330,82
fluid_intelligence,4,3,R3,FC,0.34558265008117395,5.211174554540712,4.297112612852753,330,82
fluid_intelligence,4,3,R3,SC,0.22881761198847916,5.163108484111947,4.186189801745045,330,82
fluid_intelligence,4,3,R3,FP,0.43976215141388586,4.644272610772314,4.000791096007571,330,82
fluid_intelligence,4,3,R3,fused,0.2666023002765025,5.001295298191082,4.11290686500002,330,82
fluid_intelligence,4,3,R3,equal_weight,0.3794910283545988,4.7312898219236095,4.0458813602182016,330,82
fluid_intelligence,4,4,R3,FC,0.2480820769916618,5.2523220362326,4.260348393316554,330,82
fluid_intelligence,4,4,R3,SC,0.4112497236055918,4.599002155340099,3.831770092803664,330,82
fluid_intelligence,4,4,R3,FP,0.22553600780019437,5.097109856404312,4.192668242028754,330,82
fluid_intelligence,4,4,R3,fused,0.41955061724330844,4.554612407409667,3.8311166117592452,330,82
fluid_intelligence,4,4,R3,equal_weight,0.43434828010426835,4.524607469998788,3.814105720854279,330,82
fluid_intelligence,5,0,R3,FC,0.19960051648221844,5.436341682716191,4.394035285182336,329,83
fluid_intelligence,5,0,R3,SC,0.2823481248930599,4.818154102004828,3.8936412359698607,329,83
fluid_intelligence,5,0,R3,FP,0.25894048047836926,4.923023906348753,4.08377009091372,329,83
fluid_intelligence,5,0,R3,fused,0.31703552964637005,4.674410497293465,3.8601405399756032,329,83
fluid_intelligence,5,0,R3,equal_weight,0.3353430994873785,4.612388367007081,3.86772134072857,329,83
fluid_intelligence,5,1,R3,FC,0.16710230478967053,5.70106037628588,4.45170762570111,329,83
fluid_intelligence,5,1,R3,SC,0.3682717951689065,4.536518943816187,3.659853214886055,329,83
fluid_intelligence,5,1,R3,FP,0.21169242181120357,5.061516036380072,4.060672724561759,329,83
fluid_intelligence,5,1,R3,fused,0.3857724271618414,4.395445633055669,3.618097189889313,329,83
fluid_intelligence,5,1,R3,equal_weight,0.3596711641393888,4.442943294501001,3.6893067517664626,329,83
fluid_intelligence,5,2,R3,FC,0.1357752102974238,6.244330669430995,4.86135670109214,330,82
fluid_intelligence,5,2,R3,SC,0.4878274801286274,4.608498347741558,3.860741800075774,330,82
fluid_intelligence,5,2,R3,FP,0.12835904490405092,5.346299935824881,4.425300790446276,330,82
fluid_intelligence,5,2,R3,fused,0.40814260297794197,4.830680963408048,4.063976265428873,330,82
fluid_intelligence,5,2,R3,equal_weight,0.40814260297794197,4.830680963408048,4.063976265428873,330,82
fluid_intelligence,5,3,R3,FC,0.17352547163037943,5.559333292259598,4.503344143967143,330,82
fluid_intelligence,5,3,R3,SC,0.40678164182697196,4.701482297771524,3.752391018829559,330,82
fluid_intelligence,5,3,R3,FP,0.26549253729232664,5.071175103423639,4.165565977485184,330,82
fluid_intelligence,5,3,R3,fused,0.43757461259237207,4.6276033986792475,3.734801982152876,330,82
