seed,fold,task,model,pearson_r,rmse,mae,alpha_fc,alpha_sc,lambda2_wm,lambda2_fi,eta_wm,eta_fi
1111,4,FI,base_late_fusion,0.35872084162410434,4.228543991401881,3.4274612093730763,50,50,10.0,10.0,0.0,0.0
1111,4,WM,ind_residual_no_prior,0.29780775469111415,9.993668570766507,8.242837787643316,50,50,10.0,10.0,0.0,1.0
1111,4,FI,ind_residual_no_prior,0.29792677723006444,4.472814696396821,3.6252376992479927,50,50,10.0,10.0,0.0,1.0
1111,4,WM,ind_residual_prior,0.29780775469111415,9.993668570766507,8.242837787643316,50,50,10.0,10.0,0.0,1.0
1111,4,FI,ind_residual_prior,0.3594500430633404,4.227049026475449,3.426713886746382,50,50,10.0,10.0,0.0,1.0
1111,4,WM,mt_residual_no_prior,0.2953330281171829,10.068223107309278,8.319779798353569,50,50,10.0,10.0,0.0,1.0
1111,4,FI,mt_residual_no_prior,0.34346219534789435,4.278071616027696,3.471280487362211,50,50,10.0,10.0,0.0,1.0
1111,4,WM,mt_residual_prior,0.29780775469111415,9.993668570766507,8.242837787643316,50,50,10.0,10.0,0.0,1.0
1111,4,FI,mt_residual_prior,0.3594497079507905,4.22705726766841,3.4267242577401005,50,50,10.0,10.0,0.0,1.0
1212,0,WM,base_late_fusion,0.21447479400826083,10.91158393894491,9.055557783379692,50,1,10.0,10.0,0.0,0.0
1212,0,FI,base_late_fusion,0.44958668719288697,4.606581484422573,3.862022488596498,50,1,10.0,10.0,0.0,0.0
1212,0,WM,ind_residual_no_prior,0.23170605373969494,10.901135814838861,8.992041816157101,50,1,10.0,10.0,1.0,1.0
1212,0,FI,ind_residual_no_prior,0.3871723512763754,4.768934438636675,3.9614777409993924,50,1,10.0,10.0,1.0,1.0
1212,0,WM,ind_residual_prior,0.2144798060346065,10.911716597075234,9.055518550370916,50,1,10.0,10.0,1.0,1.0
1212,0,FI,ind_residual_prior,0.4494843984536805,4.6068044707572495,3.8625768945230363,50,1,10.0,10.0,1.0,1.0
1212,0,WM,mt_residual_no_prior,0.21924943647473144,10.905232021116655,9.037801230412335,50,1,10.0,10.0,1.0,1.0
1212,0,FI,mt_residual_no_prior,0.4396246970013979,4.6307464789337915,3.869111756006898,50,1,10.0,10.0,1.0,1.0
1212,0,WM,mt_residual_prior,0.2144806633889629,10.911724219008816,9.055504451313455,50,1,10.0,10.0,1.0,1.0
1212,0,FI,mt_residual_prior,0.44948941489634475,4.606789879077547,3.8625577064267245,50,1,10.0,10.0,1.0,1.0
1212,1,WM,base_late_fusion,0.25765409225481317,11.486160230427569,9.219975073184742,100,50,10.0,10.0,0.0,0.0
1212,1,FI,base_late_fusion,0.38965627054089025,4.594212616135498,3.909693402865706,100,50,10.0,10.0,0.0,0.0
1212,1,WM,ind_residual_no_prior,0.25765409225481317,11.486160230427569,9.219975073184742,100,50,10.0,10.0,0.0,1.0
1212,1,FI,ind_residual_no_prior,0.39136728678038757,4.612256270565978,3.9029785276422366,100,50,10.0,10.0,0.0,1.0
1212,1,WM,ind_residual_prior,0.25765409225481317,11.486160230427569,9.219975073184742,100,50,10.0,10.0,0.0,1.0
1212,1,FI,ind_residual_prior,0.3904520825669994,4.592264134247829,3.9077163195505986,100,50,10.0,10.0,0.0,1.0
1212,1,WM,mt_residual_no_prior,0.25747277864678664,11.540524545310003,9.261451643776146,100,50,10.0,10.0,0.0,1.0
1212,1,FI,mt_residual_no_prior,0.39259355815470426,4.590289119648822,3.9024073897012346,100,50,10.0,10.0,0.0,1.0
1212,1,WM,mt_residual_prior,0.25765409225481317,11.486160230427569,9.219975073184742,100,50,10.0,10.0,0.0,1.0
1212,1,FI,mt_residual_prior,0.3904555565605133,4.592256354338114,3.9077037465876083,100,50,10.0,10.0,0.0,1.0
1212,2,WM,base_late_fusion,0.16100481478283363,12.404958863182792,10.642216254194242,1,1,0.0,10.0,0.0,0.0
1212,2,FI,base_late_fusion,0.28192979649313965,4.280504159055726,3.554263264067631,1,1,0.0,10.0,0.0,0.0
1212,2,WM,ind_residual_no_prior,0.15504713187860414,12.486005439671395,10.71219936398744,1,1,0.0,10.0,0.25,1.0
1212,2,FI,ind_residual_no_prior,0.27418839538808754,4.494423693193722,3.6203828769799933,1,1,0.0,10.0,0.25,1.0
1212,2,WM,ind_residual_prior,0.15504713187860414,12.486005439671395,10.71219936398744,1,1,0.0,10.0,0.25,1.0
1212,2,FI,ind_residual_prior,0.2831118899618148,4.287357422453524,3.5578169807406415,1,1,0.0,10.0,0.25,1.0
1212,2,WM,mt_residual_no_prior,0.1550471318786042,12.486005439671395,10.71219936398744,1,1,0.0,10.0,1.0,1.0
1212,2,FI,mt_residual_no_prior,0.28124641683300955,4.32015270643516,3.565429022760302,1,1,0.0,10.0,1.0,1.0
1212,2,WM,mt_residual_prior,0.16132672213030144,12.417937774572843,10.654897757053147,1,1,0.0,10.0,1.0,1.0
1212,2,FI,mt_residual_prior,0.2848336580657159,4.287892652094814,3.5562846805067627,1,1,0.0,10.0,1.0,1.0
1212,3,WM,base_late_fusion,0.23903978407409676,12.611435968512117,10.365786303695215,50,50,10.0,10.0,0.0,0.0
1212,3,FI,base_late_fusion,0.4779008489507989,4.504266978928526,3.7288887456132307,50,50,10.0,10.0,0.0,0.0
1212,3,WM,ind_residual_no_prior,0.23258939026491013,12.705946326444082,10.419569471060708,50,50,10.0,10.0,0.5,1.0
1212,3,FI,ind_residual_no_prior,0.4706024618175717,4.5208712105790525,3.7130627900861137,50,50,10.0,10.0,0.5,1.0
1212,3,WM,ind_residual_prior,0.23900958050865265,12.611839720661182,10.366127776866431,50,50,10.0,10.0,0.5,1.0
1212,3,FI,ind_residual_prior,0.479088098235268,4.500901906521448,3.7251199884013935,50,50,10.0,10.0,0.5,1.0
1212,3,WM,mt_residual_no_prior,0.23580758582473926,12.65755119621878,10.39267788737796,50,50,10.0,10.0,0.5,1.0
1212,3,FI,mt_residual_no_prior,0.48072382913081946,4.4959144319966455,3.719514493669159,50,50,10.0,10.0,0.5,1.0
1212,3,WM,mt_residual_prior,0.23900976743016544,12.61185464022469,10.36614033451401,50,50,10.0,10.0,0.5,1.0
1212,3,FI,mt_residual_prior,0.4791093652906169,4.500837787406294,3.7250897394549827,50,50,10.0,10.0,0.5,1.0
1212,4,WM,base_late_fusion,0.05492759737041419,12.151650073110526,9.488922406288642,100,55,10.0,10.0,0.0,0.0
1212,4,FI,base_late_fusion,0.3698676571370096,4.6395413070521245,3.640230672601237,100,55,10.0,10.0,0.0,0.0
1212,4,WM,ind_residual_no_prior,0.046461917606821106,12.350884603335828,9.535400989712212,100,55,10.0,10.0,1.0,1.0
1212,4,FI,ind_residual_no_prior,0.3523855208271568,4.806699039224228,3.729484724434306,100,55,10.0,10.0,1.0,1.0
1212,4,WM,ind_residual_prior,0.05493327364352167,12.151905728665628,9.489091333571771,100,55,10.0,10.0,1.0,1.0
1212,4,FI,ind_residual_prior,0.369469600564296,4.640813769448135,3.641343238111908,100,55,10.0,10.0,1.0,1.0
1212,4,WM,mt_residual_no_prior,0.05058976614304492,12.247636238452644,9.508523425163814,100,55,10.0,10.0,1.0,1.0
1212,4,FI,mt_residual_no_prior,0.3675164655486054,4.667615638563063,3.652540646538176,100,55,10.0,10.0,1.0,1.0
1212,4,WM,mt_residual_prior,0.054934277883351805,12.15190982292199,9.489096100008096,100,55,10.0,10.0,1.0,1.0
1212,4,FI,mt_residual_prior,0.36947039916990954,4.640822567854454,3.641352929827833,100,55,10.0,10.0,1.0,1.0
