task,seed,outer_fold,selected_candidate,selected_hyperparam,baseline_r,selected_r,delta_r,baseline_rmse,selected_rmse,baseline_mae,selected_mae,a_oof_r,b_oof_r,c_oof_r,b_best_a,c_best_lambda
working_memory,8,3,A,0.0,0.2975654758095576,0.2975654758095576,0.0,12.478274589340174,12.478274589340174,10.075893940898965,10.075893940898965,0.2913570675950739,0.2913570675950739,0.26786485766193086,0.0,100.0
working_memory,8,4,A,0.0,0.2643798389413082,0.2643798389413082,0.0,11.284660862240159,11.284660862240159,9.100515057007394,9.100515057007394,0.17659285787428775,0.17659285787428775,0.12616608633757698,0.0,100.0
working_memory,9,0,B,0.5,0.47406812470724685,0.46863483875330453,-0.005433285953942324,10.98101198626193,11.081455890650203,8.773831249200779,8.938236832083602,0.18973362745952194,0.1941149254177966,0.1461980541183722,0.5,100.0
working_memory,9,1,A,0.0,0.18548700117193193,0.18548700117193193,0.0,11.546229928843273,11.546229928843273,9.319022844480632,9.319022844480632,0.2930974732989499,0.2930974732989499,0.26913941983739753,0.0,100.0
working_memory,9,2,B,0.5,0.26046010993862495,0.2699830924887891,0.00952298255016415,11.093588557508399,10.951149384789554,8.853924813364063,8.766817736153962,0.21026140339240387,0.2164756976438289,0.19673043329614054,0.5,100.0
working_memory,9,3,B,0.25,0.20357359268103706,0.19884364983512476,-0.004729942845912299,11.098623885644269,11.127198398856526,9.102409260069335,9.107499340887088,0.2744329489054657,0.276785176760162,0.24123255278976014,0.25,100.0
working_memory,9,4,B,0.5,0.18966359931472002,0.1944377691143374,0.004774169799617395,11.724154000269671,11.72961793087295,9.622520218766068,9.468679514764407,0.1989943463809862,0.20435950688650972,0.1715144213858431,0.5,100.0
fluid_intelligence,0,0,B,0.25,0.5078049710892826,0.5082450469795865,0.0004400758903039259,3.7680036998826796,3.7678509785651606,2.9164400666735126,2.9050799116547785,0.09516975304501077,0.09681534947326514,0.02922009173964671,0.25,100.0
fluid_intelligence,0,1,B,0.25,0.3810946470883656,0.3750641322044096,-0.006030514883956006,4.720386065571555,4.721804543949191,3.998494568166636,4.000197798715431,0.33644644470304186,0.3375368255653328,0.30693611805800575,0.25,100.0
fluid_intelligence,0,2,B,0.5,0.3368590979036066,0.30626806819255653,-0.030591029711050044,4.907362322426804,4.973460065157055,4.241545458594358,4.309907429397105,0.37095578193658035,0.37744154681437747,0.3649495091340208,0.5,10.0
fluid_intelligence,0,3,A,0.0,0.2219857722555099,0.2219857722555099,0.0,4.640919186671429,4.640919186671429,3.976671954473017,3.976671954473017,0.41560083878605225,0.41560083878605225,0.3958289913038003,0.0,100.0
fluid_intelligence,0,4,B,0.1,0.43011852387753713,0.433925162453092,0.003806638575554855,4.6394561929065015,4.63002916889699,3.6638097914409737,3.6600784377881834,0.3270618652658743,0.3291502787112119,0.32252882889536705,0.1,100.0
fluid_intelligence,1,0,B,0.1,0.24362888835743796,0.2340832192533032,-0.009545669104134763,4.5561161101615015,4.5757269670680865,3.633447370109785,3.6485422248400825,0.408118125758672,0.4084650234172525,0.4001227467807257,0.1,100.0
fluid_intelligence,1,1,A,0.0,0.392312455665611,0.392312455665611,0.0,4.28532945967981,4.28532945967981,3.5133593119522644,3.5133593119522644,0.3041118220603167,0.3041118220603167,0.276704751702497,0.0,0.0
fluid_intelligence,1,2,A,0.0,0.4390614872696734,0.4390614872696734,0.0,4.7706107535938,4.7706107535938,3.9773493541106624,3.9773493541106624,0.29265513054686054,0.29265513054686054,0.2865265167710079,0.0,100.0
fluid_intelligence,1,3,B,0.5,0.3174854544421238,0.32123210817941994,0.0037466537372961572,4.958782165627864,4.982909389946018,4.294080020758313,4.289222149983855,0.346028595206053,0.35190970952096046,0.33081578434418835,0.5,100.0
fluid_intelligence,1,4,B,0.25,0.33047676351150523,0.33413204965513754,0.003655286143632308,4.608582864118104,4.607353006107194,3.835270151945346,3.835093054610286,0.2888432193848567,0.2908164036160913,0.2647374868625713,0.25,100.0
fluid_intelligence,2,0,A,0.0,0.452172595829456,0.452172595829456,0.0,4.637389689978013,4.637389689978013,3.8528412543088213,3.8528412543088213,0.28258768612877605,0.28258768612877605,0.2605345395341524,0.0,0.0
fluid_intelligence,2,1,A,0.0,0.327743935586886,0.327743935586886,0.0,4.4951694711447,4.4951694711447,3.864645271919825,3.864645271919825,0.4313752569003295,0.4313752569003295,0.41467638806231555,0.0,0.0
fluid_intelligence,2,2,B,0.5,0.4343322072589925,0.4348463664610015,0.0005141592020089791,4.24168370762341,4.243795400703145,3.4728776693201024,3.535305536508168,0.2755049788428937,0.2982953011813224,0.2810347024411416,0.5,100.0
fluid_intelligence,2,3,A,0.0,0.4367764368117313,0.4367764368117313,0.0,4.566720654932367,4.566720654932367,3.716522645591028,3.716522645591028,0.25289352944973365,0.25289352944973365,0.2404298289809999,0.0,100.0
fluid_intelligence,2,4,B,1.0,0.36713611760470866,0.36200050938279416,-0.0051356082219145005,4.567640299282428,4.626556198387831,3.840145990710417,3.9086417748989972,0.3057165265025157,0.34817087701631866,0.32961963924875287,1.0,0.0
fluid_intelligence,3,0,A,0.0,0.24861303052611805,0.24861303052611805,0.0,4.759831389329506,4.759831389329506,4.0281566059598735,4.0281566059598735,0.4054789425126323,0.4054789425126323,0.3916326678484413,0.0,0.0
fluid_intelligence,3,1,B,0.1,0.36410336895898743,0.36442866558527875,0.00032529662629132705,4.541984749437563,4.5435364648840535,3.6380604059604025,3.638150689652287,0.34996493503724024,0.35224075053926707,0.3357558853228012,0.1,0.0
fluid_intelligence,3,2,A,0.0,0.39485890687913094,0.39485890687913094,0.0,4.427948963745986,4.427948963745986,3.523930227943065,3.523930227943065,0.2836022157183665,0.2836022157183665,0.2514526102513481,0.0,100.0
fluid_intelligence,3,3,B,1.0,0.441623267405485,0.41669524782169953,-0.024928019583785488,4.588306068250187,4.636429636405672,3.8404444624543013,3.8593978650285305,0.25020301627645036,0.2753880054939036,0.2564572011915077,1.0,10.0
fluid_intelligence,3,4,A,0.0,0.2645265137133498,0.2645265137133498,0.0,4.821296411003336,4.821296411003336,3.957502903114379,3.957502903114379,0.36580615660574645,0.36580615660574645,0.3513743076079211,0.0,0.0
fluid_intelligence,4,0,B,1.0,0.3722206445721284,0.3353992119199678,-0.03682143265216059,4.509378582798186,4.82036087573544,3.694621165271517,3.8219627981187614,0.28099042725530105,0.2972759866203383,0.27524935777439347,1.0,100.0
fluid_intelligence,4,1,B,0.5,0.36701442724102074,0.402922917922986,0.03590849068196528,4.326442430155863,4.2270569001042695,3.628802628291967,3.587056059809685,0.3298134849929206,0.33830247202887864,0.3056445797276536,0.5,100.0
fluid_intelligence,4,2,B,0.1,0.35037589273622927,0.3503945839876133,1.869125138403982e-05,4.578089102183271,4.578290497695898,3.7785630053935124,3.775795891914764,0.3163631204780325,0.3168128554757426,0.2800857582614466,0.1,100.0
fluid_intelligence,4,3,B,0.5,0.28847047488476807,0.20383717651396344,-0.08463329837080463,4.957658488432001,5.140103349423123,4.059187853548794,4.263177546653112,0.36578948108346154,0.3736135526174193,0.3404805075446742,0.5,0.0
fluid_intelligence,4,4,B,1.0,0.45924981578772006,0.4274882242964083,-0.03176159149131175,4.4755054276109085,4.5319650474398445,3.8064231861667497,3.7699101136035362,0.247305450874643,0.2883434894558736,0.2494916055559061,1.0,0.0
fluid_intelligence,5,0,A,0.0,0.3253810699184727,0.3253810699184727,0.0,4.64005525246659,4.64005525246659,3.8486101332421057,3.8486101332421057,0.34051809612286743,0.34051809612286743,0.33261583839225406,0.0,100.0
fluid_intelligence,5,1,B,0.1,0.3804314948248539,0.3828062896730935,0.002374794848239603,4.397100127951577,4.395509406430599,3.6238549019008124,3.6215518170962118,0.3201921646575796,0.3211258358425513,0.3029233745554015,0.1,100.0
fluid_intelligence,5,2,B,0.5,0.43969909365942444,0.4387979060346419,-0.000901187624782529,4.769106270326792,4.759290741897046,4.009520653028539,3.992693895040013,0.256820777728176,0.265237005403693,0.23632430408712368,0.5,10.0
fluid_intelligence,5,3,A,0.0,0.44828196133948073,0.44828196133948073,0.0,4.6130136064887575,4.6130136064887575,3.7285377576268903,3.7285377576268903,0.3393957937755056,0.3393957937755056,0.31095616033112744,0.0,100.0
fluid_intelligence,5,4,B,0.5,0.2568120676861931,0.21701548963182377,-0.039796578054369314,4.421592655324535,4.447592727835492,3.7407094970921784,3.7669287323333305,0.3628878941349417,0.36943849061709644,0.3285293181453724,0.5,100.0
fluid_intelligence,6,0,B,0.25,0.31519991501956657,0.3206833781302658,0.005483463110699249,4.313195215487629,4.305136536201615,3.580664378023649,3.593704135829575,0.39141014967086235,0.39767408107173385,0.372209780547785,0.25,1.0
fluid_intelligence,6,1,B,0.25,0.4449914620759502,0.43898848738567725,-0.006002974690272944,4.217631998561368,4.225107866329482,3.4950236548661477,3.4995315627823236,0.27978781527743785,0.28753276720188514,0.28534258440963595,0.25,0.1
fluid_intelligence,6,2,A,0.0,0.29011826868590695,0.29011826868590695,0.0,4.64670265462281,4.64670265462281,3.90091748767121,3.90091748767121,0.3123369083373863,0.3123369083373863,0.30487426652455585,0.0,100.0
fluid_intelligence,6,3,A,0.0,0.44388916968269393,0.44388916968269393,0.0,4.1814782321444515,4.1814782321444515,3.529380482577655,3.529380482577655,0.3430426239117375,0.3430426239117375,0.32798348006909384,0.0,0.0
fluid_intelligence,6,4,A,0.0,0.394889337422331,0.394889337422331,0.0,5.286155890705482,5.286155890705482,4.3199141158575545,4.3199141158575545,0.3411371907499474,0.3411371907499474,0.33367661400548465,0.0,0.0
fluid_intelligence,7,0,A,0.0,0.31182585582621636,0.31182585582621636,0.0,4.446810458184444,4.446810458184444,3.7554503304999587,3.7554503304999587,0.3123811915068504,0.3123811915068504,0.29870264541697833,0.0,100.0
fluid_intelligence,7,1,A,0.0,0.479515693070916,0.479515693070916,0.0,4.485292058773557,4.485292058773557,3.606587218704652,3.606587218704652,0.24001306965450137,0.24001306965450137,0.2162828292262164,0.0,0.0
