model,seed,fold,abstained,base_rmse,top5_delta_rmse,top10_delta_rmse,bottom5_delta_rmse,bottom10_delta_rmse,random5_mean,random5_std,random5_p95,random5_p5,random10_mean,random10_std,random10_p95,random10_p5,top10_minus_random10,top5_minus_random5,top10_random10_percentile
R-SHUFFLED,7575,2,0,11.704127628276868,-0.03405691466816485,0.08857501024943915,0.06904636619934479,0.019549598288046255,-0.0023707995059936947,0.05005518987703195,0.07916589126823066,-0.0860211446575474,0.006310887267115693,0.07196672699766375,0.14263215659807313,-0.10605772138324063,0.08226412298232345,-0.03168611516217115,0.87
R-SHUFFLED,7575,3,0,12.86128753816209,0.058076796081088844,-0.172126217116368,-0.0073068945015553055,0.003585503153599845,0.019076202255901294,0.07960862896436129,0.1420083358819774,-0.12676641474517814,0.03209835720350121,0.1083205356328486,0.1801771650668559,-0.1847294164024535,-0.2042245743198692,0.03900059382518755,0.07
R-SHUFFLED,7575,4,1,,,,,,,,,,,,,,,,
R-RANDOM,7171,0,0,11.259111924908394,-0.07773691977175012,0.15893561161979797,-0.04671128262720714,-0.019748614343173543,0.04938807042326156,0.1618601394524481,0.34451488036432554,-0.16600465345825627,0.05793294877541386,0.22295017962073496,0.44544424517622594,-0.2246128751977281,0.10100266284438411,-0.12712499019501167,0.75
R-RANDOM,7171,1,0,10.848380071976303,-0.03476195637577284,0.05283332710139277,0.06052211517677719,0.026309029345815915,0.0012177258570030425,0.09320428636865799,0.16701214109086154,-0.15559289142433652,0.048470089068626404,0.1171874382304861,0.23216877402703753,-0.1268054127762477,0.0043632380327663645,-0.03597968223277588,0.52
R-RANDOM,7171,2,0,11.655610165790103,0.1786944396908723,0.4594451963142827,0.028948001780412014,0.01708897283569044,0.05747930617819748,0.09482393361064292,0.21483137242977773,-0.0788150393058844,0.08325106725607694,0.1306661423035977,0.32502073497993234,-0.07831460357525896,0.37619412905820576,0.12121513351267481,0.99
R-RANDOM,7171,3,0,10.634556792411253,-0.2939432261269914,-0.3650457836568748,0.26195238610852023,0.8006854719524874,0.017934399311666453,0.21494843059142515,0.48139644247742813,-0.2480163877480222,0.05621950615120204,0.2781742596712459,0.5606731412926733,-0.2963217671539624,-0.4212652898080768,-0.3118776254386579,0.02
R-RANDOM,7171,4,0,12.068073195090957,-0.1647619472814128,-0.2308135458533176,-0.12518023397414346,-0.2619552942397352,-0.047553673354416265,0.15498718761210553,0.22727984726240588,-0.26374241494097417,0.006817110022038957,0.28422768157717854,0.5449318181067896,-0.36404036597164546,-0.23763065587535656,-0.11720827392699654,0.2
R-RANDOM,7272,0,0,12.394363845583088,-0.12910557487480467,-0.01740052801548231,0.016876038095176682,-0.10382112267626376,-0.0027560365839780234,0.09323995145759197,0.1422180866965389,-0.15166660396752168,-0.014934256379987403,0.13082669501460012,0.20255186000760897,-0.18344143230186463,-0.0024662716354949057,-0.12634953829082665,0.55
R-RANDOM,7272,1,0,10.709238855567872,-0.05973078057824033,-0.20531296682998068,0.18277884630052554,0.08025512706951865,0.04377119921604523,0.16344891965693367,0.3682582386979058,-0.1850613566368157,0.09504779133967299,0.23955236821311335,0.4850730856529605,-0.2472297574386875,-0.3003607581696537,-0.10350197979428555,0.08
R-RANDOM,7272,2,0,11.037524271148738,-0.11928461184566252,-0.30568154511638035,0.05372184890074472,0.04843116724851981,-0.009622856296265922,0.0852964243039889,0.1402829436074442,-0.153896014707063,-0.05070297035671599,0.12612695620163294,0.13864031951160455,-0.2653265537829562,-0.25497857475966434,-0.1096617555493966,0.03
R-RANDOM,7272,3,0,11.027760705003175,0.0062816297476064875,0.07289234414986545,0.034921686537446206,0.02952707679197708,0.0193753744716191,0.06823547355400654,0.13585797171291378,-0.07380740482486851,0.0567552684956547,0.09102536447083774,0.21523912092580097,-0.08901722617329097,0.01613707565421075,-0.013093744724012611,0.59
R-RANDOM,7272,4,0,11.225751099157641,0.059499452784374185,0.23278076890120758,0.03625246229024093,0.20326126213805296,0.11039286245578886,0.2738535934903045,0.46762029192166454,-0.18991913657473247,0.12735112800507176,0.3791554937373709,0.8509964261831382,-0.39772321314233566,0.10542964089613582,-0.050893409671414674,0.65
R-RANDOM,7373,0,0,11.592434277210401,-0.2073154917146578,-0.599362763274538,0.03857639607602792,0.25397548498989764,0.03108334953183622,0.2870252097163659,0.5108258106248077,-0.3079212033027212,0.0762370872499055,0.4306013389613575,0.8229993791880214,-0.49705383545613735,-0.6755998505244435,-0.23839884124649402,0.03
R-RANDOM,7373,1,0,11.114015905360931,-0.2212884090794507,-0.13896819347761635,0.002725469138868064,-0.061885143429638134,0.09960534327659142,0.2348498179969144,0.5744819693647476,-0.15699514200391843,0.17556793811817284,0.37926028546368573,0.8746531422051365,-0.24597152819138896,-0.3145361315957892,-0.3208937523560421,0.19
