seed,fold,model,modality,family,size,inner_r,inner_rmse,inner_mae,inner_lambda,selected,n_edges
7272,3,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.12243033219106034,11.606852958203062,9.3738825760538,100.0,0,100
7272,3,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.181205474795509,11.78135895700105,9.472119891474641,100.0,0,300
7272,3,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.18082806335351737,11.375090137792357,9.185702600452919,1000.0,0,600
7272,3,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.19352992262696994,11.456813233413076,9.158402571540725,1000.0,0,1200
7272,3,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.19311896171056891,11.959934994626638,9.466664703629323,100.0,0,565
7272,3,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.22380709023842182,12.172994373360789,9.649329792339513,100.0,0,1105
7272,3,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.24401997462186079,12.303344993466354,9.64128176733875,100.0,1,1620
7272,3,R-MATCHED/N-MATCHED,sc,direct_topk,100,-0.06172802887290041,11.736602417828431,9.4337610741222,1000.0,0,100
7272,3,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.0207560794364367,28.444212393916654,21.70634654987102,1.0,0,300
7272,3,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.0260478681858607,11.809129922192392,9.499699774344288,1000.0,0,600
7272,3,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.05117379447309917,11.936148377339698,9.597204434883407,1000.0,0,1200
7272,3,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.05271069885127755,11.728648298408295,9.373301060587133,1000.0,1,565
7272,3,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.0007292254002429568,12.1219747483261,9.750609711921786,1000.0,0,1105
7272,3,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.024007143428276458,12.074663157949477,9.669032208072414,1000.0,0,1620
7272,4,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.1478438634657794,11.61197680125736,9.320575734383269,100.0,0,100
7272,4,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.19544946683962922,11.323475519368682,9.168492383099295,1000.0,0,300
7272,4,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.20376961739419974,11.368000349465786,9.252622384329792,1000.0,0,600
7272,4,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.2323844274043318,11.365687715004428,9.207943778649307,1000.0,0,1200
7272,4,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.20816181295319547,12.020678128904034,9.68154553234619,100.0,0,565
7272,4,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.26301230224191535,11.222785092907287,9.054586147963398,1000.0,1,1105
7272,4,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.24726001812592982,11.36500051780368,9.147600852296957,1000.0,0,1620
7272,4,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.009244021287444629,11.674519651606424,9.548258927849945,1000.0,0,100
7272,4,R-MATCHED/N-MATCHED,sc,direct_topk,300,-0.003556212663162802,11.841294103504604,9.68088293539258,1000.0,0,300
7272,4,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.05153015875402352,11.817321337969576,9.70306453727655,1000.0,0,600
7272,4,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.09146091466006911,11.862425612084174,9.738728022285063,1000.0,0,1200
7272,4,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.08073242834820538,13.235728062057795,10.643621594572592,100.0,0,565
7272,4,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.09524524335944395,11.792294486440698,9.652284473946523,1000.0,0,1105
7272,4,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.10577672988062843,12.606181174042238,10.170808911229859,100.0,1,1620
7373,0,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.20414862982734827,11.322104754052786,9.102184224298862,100.0,0,100
7373,0,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.2400128454167148,11.474875114465517,9.103671752949692,100.0,0,300
7373,0,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.21794338124907214,11.224488457367034,9.042905875367772,1000.0,0,600
7373,0,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.20971461056529858,11.368744819600892,9.119484331965817,1000.0,0,1200
7373,0,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.18115515647185387,12.241946633139626,9.71962243160751,100.0,0,565
7373,0,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.24198140038424332,11.251397104264342,9.040610802323409,1000.0,0,1105
7373,0,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.2506369402926325,11.29130835783119,9.073019952436374,1000.0,1,1620
7373,0,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.09195177327274237,11.439493658638218,9.153366862897645,1000.0,0,100
7373,0,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.10712299997264779,12.86133273683457,10.154613130751098,100.0,0,300
7373,0,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.05987415021616941,11.763680355835955,9.45253713345869,1000.0,0,600
7373,0,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.06743230010754707,11.93250864295268,9.535086501356465,1000.0,0,1200
7373,0,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.11474564594785527,11.57868262941116,9.195150129973687,1000.0,1,565
7373,0,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.09212850863615674,11.800336318455301,9.389139750213564,1000.0,0,1105
7373,0,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.06921874180168082,11.971564231439153,9.472023658670146,1000.0,0,1620
7373,1,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.09228653828458103,12.47857584629155,10.010830905405873,10.0,0,100
7373,1,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.14957489056594797,11.832580182970316,9.487145143300191,100.0,0,300
7373,1,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.17512016798938201,11.32491975541579,9.094897524746864,1000.0,0,600
7373,1,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.20870788170289306,11.310922966043181,9.051330236799059,1000.0,1,1200
7373,1,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.14374376139122128,12.256883718536038,9.774361533102411,100.0,0,565
7373,1,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.19050195778381196,12.687547665214005,10.15047426267564,100.0,0,1105
7373,1,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.18172107463995274,13.086446446263267,10.461632750351573,100.0,0,1620
7373,1,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.11012755869144616,11.378868932008658,9.250572087931793,1000.0,0,100
7373,1,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.1521627167737936,11.335796625513312,9.195411406636158,1000.0,0,300
7373,1,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.1502564973805734,11.416679935582371,9.26403195390569,1000.0,0,600
7373,1,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.12058994210134112,11.676124678346524,9.447370402179395,1000.0,0,1200
7373,1,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.16401444280867333,11.36282060403776,9.146837822187472,1000.0,1,565
7373,1,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.1197487063415803,11.638559279621763,9.40552035484518,1000.0,0,1105
7373,1,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.11754266033927317,11.744242419717509,9.4627688608247,1000.0,0,1620
7373,2,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.22896081563580473,11.083251888924435,8.909344736621208,100.0,0,100
7373,2,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.2437878399439373,10.969399115641355,8.85929817610245,1000.0,0,300
