model,seed,fold,n,pearson,rmse,mae
R-CROSS,7272,4,102,0.25622775750269333,11.361464190919635,9.187763166562487
R-SHUFFLED,7272,4,102,0.2014620688913334,11.096451861204589,8.914959352221162
R-RANDOM,7272,4,102,0.26467397475926274,11.225751099157641,8.848776848133566
N-MATCHED,7272,4,102,0.22682294089088154,11.42943307574945,9.294266633986398
N-CROSS,7272,4,102,0.25622775750269333,11.361464190919635,9.187763166562487
N-SHUFFLED,7272,4,102,0.23198316036584032,10.968129470575784,8.800219440453533
N-RANDOM,7272,4,102,0.2664741154888943,10.897650899412923,8.693450562277764
R0,7373,0,102,0.28721717910824246,11.53151246814127,9.501415134002162
R-MATCHED,7373,0,102,0.2877461637772904,11.339259607861436,9.415210989658744
R-CROSS,7373,0,102,0.2828064932574094,11.383568467187144,9.401910340651934
R-SHUFFLED,7373,0,102,0.28721717910824246,11.53151246814127,9.501415134002162
R-RANDOM,7373,0,102,0.2804241474077248,11.592434277210401,9.466380285759692
N-MATCHED,7373,0,102,0.288745557300659,11.321241160679133,9.397697065820642
N-CROSS,7373,0,102,0.2765565695725866,11.487242267754636,9.451450719098297
N-SHUFFLED,7373,0,102,0.28721717910824246,11.53151246814127,9.501415134002162
N-RANDOM,7373,0,102,0.2748816367218452,11.487299994525552,9.35958332479799
R0,7373,1,102,0.3430121434123841,11.309543079895978,9.18408450013837
R-MATCHED,7373,1,102,0.30666324568782927,11.095478041330333,9.141583575532161
R-CROSS,7373,1,102,0.3502368841404081,10.886014139128061,8.842000903435679
R-SHUFFLED,7373,1,102,0.3430121434123841,11.309543079895978,9.18408450013837
R-RANDOM,7373,1,102,0.35430626284780203,11.114015905360931,9.039258862296393
N-MATCHED,7373,1,102,0.3018791796386677,11.373476436126847,9.365709581564968
N-CROSS,7373,1,102,0.3220375102928482,11.132357126413469,8.963199026405253
N-SHUFFLED,7373,1,102,0.3430121434123841,11.309543079895978,9.18408450013837
N-RANDOM,7373,1,102,0.3523546785116,11.116989415164275,9.039433145801032
R0,7373,2,102,0.18259312737230937,12.37524967531362,9.50055624642193
R-MATCHED,7373,2,102,0.19427715288762404,12.177769886212545,9.361459326180437
R-CROSS,7373,2,102,0.1887372582442848,12.100741475931187,9.383164152631345
R-SHUFFLED,7373,2,102,0.1861251544074265,12.133603952024849,9.476366185133083
R-RANDOM,7373,2,102,0.21928335913214847,12.03892029308773,9.334217992688963
N-MATCHED,7373,2,102,0.19801285844579242,12.13006515929157,9.329595735455074
N-CROSS,7373,2,102,0.1910450515411778,12.063783139423991,9.35265790340819
N-SHUFFLED,7373,2,102,0.1943570337013712,12.126116882750946,9.481878108734552
N-RANDOM,7373,2,102,0.2131215691696234,12.007774790831487,9.31935637195158
