task,seed,fold,model,pearson,rmse,mae,oof_r,eta
FI,2929,0,A5,0.44164259745330364,4.402278854425782,3.615046731975639,0.3605844141796293,0.0
FI,2929,0,A6,0.44065380030410756,4.406704581128836,3.6231677573637944,0.3606371868141508,0.05
FI,2929,1,A0,0.39864758101020686,4.412595114825182,3.6985853810457976,0.3661131409206307,
FI,2929,1,A1,0.39864758101020686,4.412595114825182,3.6985853810457976,0.3661131409206307,0.0
FI,2929,1,A2,0.39864758101020686,4.412595114825182,3.6985853810457976,0.3661131409206307,0.0
FI,2929,1,A3,0.39864758101020686,4.412595114825182,3.6985853810457976,0.3661131409206307,0.0
FI,2929,1,A4,0.39864758101020686,4.412595114825182,3.6985853810457976,0.3661131409206307,0.0
FI,2929,1,A5,0.39864758101020686,4.412595114825182,3.6985853810457976,0.3661131409206307,0.0
FI,2929,1,A6,0.39864758101020686,4.412595114825182,3.6985853810457976,0.3661131409206307,0.0
FI,2929,2,A0,0.3506014364124267,4.737666821496421,3.932202992158408,0.28422053111626666,
FI,2929,2,A1,0.3504652224379815,4.728208550497057,3.9344036064349863,0.2854855215997746,0.1
FI,2929,2,A2,0.3504652224379815,4.728208550497057,3.9344036064349863,0.2854855215997746,0.1
FI,2929,2,A3,0.3506014364124267,4.737666821496421,3.932202992158408,0.28422053111626666,0.0
FI,2929,2,A4,0.3506014364124267,4.737666821496421,3.932202992158408,0.28422053111626666,0.0
FI,2929,2,A5,0.35486452177586814,4.7181323893811316,3.9032811846573985,0.2848816418570123,0.1
FI,2929,2,A6,0.3506014364124267,4.737666821496421,3.932202992158408,0.28422053111626666,0.0
FI,2929,3,A0,0.4688572736331005,4.191115041424673,3.5243716127025317,0.3665643164551386,
FI,2929,3,A1,0.4714496527252608,4.206185965072325,3.574352987095408,0.36726177659398984,0.1
FI,2929,3,A2,0.4714496527252608,4.206185965072325,3.574352987095408,0.36726177659398984,0.1
FI,2929,3,A3,0.4688572736331005,4.191115041424673,3.5243716127025317,0.3665643164551386,0.0
FI,2929,3,A4,0.46879982785074237,4.2112722088591035,3.572733660317225,0.3666490898574104,0.1
FI,2929,3,A5,0.4620617869533033,4.409121236397339,3.821398806723044,0.3774910886673176,0.55
FI,2929,3,A6,0.46855846708514337,4.201866308597055,3.555519879230833,0.36656607803031527,0.05
FI,2929,4,A0,0.31574609301260603,4.777205476751988,3.9320460406858753,0.3455021033661938,
FI,2929,4,A1,0.28318864250587034,4.830553648167097,4.0324795074257445,0.36691098704589875,0.2
FI,2929,4,A2,0.28318864250587034,4.830553648167097,4.0324795074257445,0.36691098704589875,0.2
FI,2929,4,A3,0.31574609301260603,4.777205476751988,3.9320460406858753,0.3455021033661938,0.0
FI,2929,4,A4,0.31574609301260603,4.777205476751988,3.9320460406858753,0.3455021033661938,0.0
FI,2929,4,A5,0.31269965250083526,4.77399233573642,4.020605870874023,0.35015410282558157,0.30000000000000004
FI,2929,4,A6,0.31574609301260603,4.777205476751988,3.9320460406858753,0.3455021033661938,0.0
FI,3030,0,A0,0.4189149974501917,4.616219187061169,3.823961737763566,0.24311520535870518,
FI,3030,0,A1,0.43129661900387295,4.582744804103486,3.772285090616548,0.2573862119605968,0.2
FI,3030,0,A2,0.43129661900387295,4.582744804103486,3.772285090616548,0.2573862119605968,0.2
FI,3030,0,A3,0.4189149974501917,4.616219187061169,3.823961737763566,0.24311520535870518,0.0
FI,3030,0,A4,0.4189149974501917,4.616219187061169,3.823961737763566,0.24311520535870518,0.0
FI,3030,0,A5,0.4300322752842687,4.6328816308632765,3.8624490628661206,0.2457665456984322,0.35000000000000003
